quest: "POST /api/extraction/extract HTTP/1.1", host: "api.actplanconsultoria.com", referrer: "https://app.actplanconsultoria.com/"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /updates.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /updates.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /alfa-rex1.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /alfa-rex1.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-index.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-index.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-admin.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-admin.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /alfa.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /alfa.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /alfanew.php7 HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /alfanew.php7 HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /locale.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /locale.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wxo.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wxo.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /colour.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /colour.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /files.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /files.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /install.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /install.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-contentt.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-contentt.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /config.php7 HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /config.php7 HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /config.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /config.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /theme.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /theme.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /block-bindings.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /block-bindings.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /class_api.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /class_api.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /inputs.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /inputs.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /root.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /root.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /menu.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /menu.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /plugin.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /plugin.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /cloud.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /cloud.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /configs.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /configs.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-configs.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /wp-configs.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /update.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /update.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /2.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /2.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /input.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /input.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /aaa.php HTTP/1.1" 301 169 "-" "-" "-"
nginx-proxy-1    | 40.123.38.81 - - [24/Apr/2025:16:40:46 +0000] "GET /aaa.php HTTP/1.1" 200 65 "-" "-" "-"
nginx-proxy-1    | 2025/04/24 16:44:01 [warn] 26#26: *6 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 177.60.68.91, server: api.actplanconsultoria.com, request: "POST /api/extraction/extract HTTP/1.1", host: "api.actplanconsultoria.com", referrer: "https://app.actplanconsultoria.com/"
nginx-proxy-1    | 2025/04/24 16:44:01 [error] 26#26: *6 connect() failed (111: Connection refused) while connecting to upstream, client: 177.60.68.91, server: api.actplanconsultoria.com, request: "POST /api/extraction/extract HTTP/1.1", upstream: "http://172.18.0.2:8001/api/extraction/extract", host: "api.actplanconsultoria.com", referrer: "https://app.actplanconsultoria.com/"
nginx-proxy-1    | 177.60.68.91 - - [24/Apr/2025:16:44:01 +0000] "POST /api/extraction/extract HTTP/1.1" 502 559 "https://app.actplanconsultoria.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36" "-"

